palabra,definicion,nivel2,past_participle,past_simple,tipo
hang,,B1 Preliminar,,,
hate,,B1 Preliminar,,,
hear,,B1 Preliminar,,,
hide,,B1 Preliminar,,,
hold,,B1 Preliminar,,,
hunt,,B1 Preliminar,,,
join,,B1 Preliminar,,,
keep,,B1 Preliminar,,,
kill,,B1 Preliminar,,,
lend,,B1 Preliminar,,,
live,,B1 Preliminar,,,
lose,,B1 Preliminar,,,
make,,B1 Preliminar,,,
meet,,B1 Preliminar,,,
mend,,B1 Preliminar,,,
need,,B1 Preliminar,,,
pack,,B1 Preliminar,,,
peel,,B1 Preliminar,,,
pick,,B1 Preliminar,,,
pour,,B1 Preliminar,,,
pray,,B1 Preliminar,,,
pull,,B1 Preliminar,,,
rise,,B1 Preliminar,,,
seem,,B1 Preliminar,,,
send,,B1 Preliminar,,,
sing,,B1 Preliminar,,,
slip,,B1 Preliminar,,,
stir,,B1 Preliminar,,,
take,,B1 Preliminar,,,
wake,,B1 Preliminar,,,
want,,B1 Preliminar,,,
warn,,B1 Preliminar,,,
wear,,B1 Preliminar,,,
burn,,A1 Movers,,,
call,,A1 Movers,,,
camp,,A1 Movers,,,
chat,,A1 Movers,,,
clap,,Pre A1 Starters,,,
come,,Pre A1 Starters,,,
drop,,A1 Movers,,,
feed,,A1 Movers,,,
feel,,A1 Movers,,,
give,,Pre A1 Starters,,,
grow,,A1 Movers,,,
hate,,A1 Movers,,,
have,,A1 Movers,,,
hear,,A1 Movers,,,
help,,A1 Movers,,,
hide,,A1 Movers,,,
hold,,Pre A1 Starters,,,
hope,,A1 Movers,,,
hurt,,A1 Movers,,,
keep,,A1 Movers,,,
know,,Pre A1 Starters,,,
lets,,Pre A1 Starters,,,
like,,A2 Flyers,,,
lose,,A1 Movers,,,
love,,Pre A1 Starters,,,
make,,Pre A1 Starters,,,
mean,,A1 Movers,,,
mind,,A2 Flyers,,,
move,,A1 Movers,,,
must,,A1 Movers,,,
need,,A1 Movers,,,
pick,,Pre A1 Starters,,,
pull,,A2 Flyers,,,
push,,A2 Flyers,,,
save,,A2 Flyers,,,
sell,,A2 Flyers,,,
send,,A2 Flyers,,,
show,,Pre A1 Starters,,,
stay,,A2 Flyers,,,
talk,,Pre A1 Starters,,,
turn,,A2 Flyers,,,
wait,,A1 Movers,,,
wake,,A1 Movers,,,
want,,Pre A1 Starters,,,
dress,,B1 Preliminar,,,
watch,,B1 Preliminar,,,
email,,B1 Preliminar,,,
phone,,B1 Preliminar,,,
enter,,B1 Preliminar,,,
board,,B1 Preliminar,,,
reply,,B1 Preliminar,,,
learn,,B1 Preliminar,,,
print,,B1 Preliminar,,,
teach,,B1 Preliminar,,,
dance,,B1 Preliminar,,,
laugh,,B1 Preliminar,,,
paint,,B1 Preliminar,,,
video,,B1 Preliminar,,,
waste,,B1 Preliminar,,,
break,,B1 Preliminar,,,
drink,,B1 Preliminar,,,
taste,,B1 Preliminar,,,
clean,,B1 Preliminar,,,
check,,B1 Preliminar,,,
light,,B1 Preliminar,,,
brush,,B1 Preliminar,,,
grill,,B1 Preliminar,,,
plant,,B1 Preliminar,,,
shout,,B1 Preliminar,,,
argue,,B1 Preliminar,,,
speak,,B1 Preliminar,,,
clear,,B1 Preliminar,,,
learn,,Pre A1 Starters,,,
spell,,Pre A1 Starters,,,
stand,,Pre A1 Starters,,,
study,,A2 Flyers,,,
